1-1 1JN.1.5
2022-4-15 1PE.2.24 F
2022-4-17 MAT.28.5-6 E
2022-12-25 LUK.2.10-11 C
2023-4-7 2CO.5.21 F
2023-4-9 1PE.1.3 E
2023-12-25 LUK.1.30-31 C
2024-3-29 LUK.24.7 F
2024-3-31 LUK.24.46-47 E
2024-12-25 MAT.1.23 C
2025-4-18 MAT.27.46 F
2025-4-20 LUK.24.7 E
2025-12-25 LUK.2.6-7 C
2026-4-3 1CO.1.18 F
2026-4-5 1CO.15.3-4 E
2026-12-25 LUK.1.30-31 C
2027-3-26 MRK.15.38-39 F
2027-3-28 MAT.28.5-6 E
2027-12-25 MAT.1.23 C
2028-4-14 PHP.2.8 F
2028-4-16 MAT.28.8-9 E
2028-12-25 MAT.1.21 C
2029-3-30 GAL.6.14 F
2029-4-1 1CO.15.3-4 E
2029-12-25 LUK.2.10-11 C
2030-4-19 1PE.2.24 F
2030-4-21 LUK.24.46-47 E
2030-12-25 LUK.2.6-7 C
2031-4-11 1CO.1.18 F
2031-4-13 1PE.1.3 E
2031-12-25 MAT.1.23 C
2032-3-26 MAT.27.46 F
2032-3-28 LUK.24.7 E
2032-12-25 LUK.2.10-11 C
2033-4-15 PHP.2.8 F
2033-4-17 JHN.20.19-20 E
2033-12-25 MAT.1.21 C
2034-4-7 2CO.5.21 F
2034-4-9 MAT.28.5-6 E
2034-12-25 LUK.1.30-31 C
2035-3-23 1PE.3.18 F
2035-3-25 MAT.28.8-9 E
2035-12-25 MAT.1.23 C
2036-4-11 LUK.24.7 F
2036-4-13 1PE.1.3 E
2036-12-25 LUK.2.10-11 C
2037-4-3 MRK.15.38-39 F
2037-4-5 LUK.24.46-47 E
2037-12-25 LUK.1.30-31 C
2038-4-23 COL.2.13-15 F
2038-4-25 1CO.15.3-4 E
2038-12-25 MAT.1.21 C
2039-4-8 GAL.6.14 F
2039-4-10 LUK.24.7 E
2039-12-25 LUK.2.6-7 C
2040-3-30 1CO.1.18 F
2040-4-1 JHN.20.19-20 E
2040-12-25 LUK.2.10-11 C
